"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group 1";"Mon Jun 6, 2022";"10:15 PM";"A";"";"Austria";"3-4-1-2";"18.700";"1:2";"UEFA Nations League A";"Denmark"
"Group 1";"Fri Jun 10, 2022";"8:45 PM";"H";"";"Croatia";"4-2-3-1";"35.862";"0:1";"UEFA Nations League A";"Denmark"
"Group 1";"Mon Jun 13, 2022";"8:45 PM";"H";"";"Austria";"3-4-3";"35.230";"2:0";"UEFA Nations League A";"Denmark"
"Group 1";"Thu Sep 22, 2022";"8:45 PM";"A";"";"Croatia";"3-4-2-1";"22.715";"2:1";"UEFA Nations League A";"Denmark"
"Group 1";"Sun Sep 25, 2022";"8:45 PM";"H";"";"France";"4-3-3 Attacking";"36.064";"2:0";"UEFA Nations League A";"Denmark"
"Group 3";"Fri Sep 7, 2018";"8:45 PM";"A";"";"Italy";"4-4-1-1";"24.000";"1:1";"UEFA Nations League A";"Poland"
"Group 3";"Thu Oct 11, 2018";"8:45 PM";"H";"";"Portugal";"4-4-2 Diamond";"43.783";"2:3";"UEFA Nations League A";"Poland"
"Group 3";"Sun Oct 14, 2018";"8:45 PM";"H";"";"Italy";"4-3-1-2";"41.692";"0:1";"UEFA Nations League A";"Poland"
"Group 3";"Tue Nov 20, 2018";"8:45 PM";"A";"";"Portugal";"4-2-3-1";"29.917";"1:1";"UEFA Nations League A";"Poland"
"Group 1";"Fri Sep 4, 2020";"8:45 PM";"A";"";"Netherlands";"4-4-1-1";"x";"1:0";"UEFA Nations League A";"Poland"
"Group 1";"Mon Sep 7, 2020";"8:45 PM";"A";"";"Bosnia-Herzegovina";"4-2-3-1";"x";"1:2";"UEFA Nations League A";"Poland"
"Group 1";"Sun Oct 11, 2020";"8:45 PM";"H";"";"Italy";"4-2-3-1";"9.000";"0:0";"UEFA Nations League A";"Poland"
"Group 1";"Wed Oct 14, 2020";"8:45 PM";"H";"";"Bosnia-Herzegovina";"4-2-3-1";"";"3:0";"UEFA Nations League A";"Poland"
"Group 1";"Sun Nov 15, 2020";"8:45 PM";"A";"";"Italy";"4-2-3-1";"x";"2:0";"UEFA Nations League A";"Poland"
"Group 1";"Wed Nov 18, 2020";"8:45 PM";"H";"";"Netherlands";"4-1-4-1";"x";"1:2";"UEFA Nations League A";"Poland"
"Group 4";"Wed Jun 1, 2022";"6:00 PM";"H";"";"Wales";"4-3-1-2";"35.214";"2:1";"UEFA Nations League A";"Poland"
"Group 4";"Wed Jun 8, 2022";"8:45 PM";"A";"";"Belgium";"4-2-3-1";"27.409";"6:1";"UEFA Nations League A";"Poland"
"Group 4";"Sat Jun 11, 2022";"8:45 PM";"A";"";"Netherlands";"4-2-3-1";"39.382";"2:2";"UEFA Nations League A";"Poland"
"Group 4";"Tue Jun 14, 2022";"8:45 PM";"H";"";"Belgium";"3-5-2";"56.803";"0:1";"UEFA Nations League A";"Poland"
"Group 4";"Thu Sep 22, 2022";"8:45 PM";"H";"";"Netherlands";"3-4-2-1";"56.673";"0:2";"UEFA Nations League A";"Poland"
"Group 4";"Sun Sep 25, 2022";"8:45 PM";"A";"";"Wales";"3-5-2";"31.520";"0:1";"UEFA Nations League A";"Poland"
"Group 2";"Sat Sep 8, 2018";"6:00 PM";"H";"";"Iceland";"4-2-3-1";"14.912";"6:0";"UEFA Nations League A";"Switzerland"
"Group 2";"Fri Oct 12, 2018";"8:45 PM";"A";"";"Belgium";"4-4-1-1";"39.049";"2:1";"UEFA Nations League A";"Switzerland"
"Group 2";"Mon Oct 15, 2018";"8:45 PM";"A";"";"Iceland";"4-2-3-1";"8.663";"1:2";"UEFA Nations League A";"Switzerland"
"Group 2";"Sun Nov 18, 2018";"8:45 PM";"H";"";"Belgium";"4-4-1-1";"15.000";"5:2";"UEFA Nations League A";"Switzerland"
"Semi-Finals";"Wed Jun 5, 2019";"8:45 PM";"A";"";"Portugal";"4-2-3-1";"42.415";"3:1";"UEFA Nations League Finals";"Switzerland"
"Third Place Play-Off";"Sun Jun 9, 2019";"3:00 PM";"H";"";"England";"3-4-2-1";"15.742";"5:6  on pens";"UEFA Nations League Finals";"Switzerland"
"Group 4";"Thu Sep 3, 2020";"8:45 PM";"A";"";"Ukraine";"3-4-3";"x";"2:1";"UEFA Nations League A";"Switzerland"
"Group 4";"Sun Sep 6, 2020";"8:45 PM";"H";"";"Germany";"5-4-1";"x";"1:1";"UEFA Nations League A";"Switzerland"
"Group 4";"Sat Oct 10, 2020";"8:45 PM";"A";"";"Spain";"3-5-2 flat";"x";"1:0";"UEFA Nations League A";"Switzerland"
"Group 4";"Tue Oct 13, 2020";"8:45 PM";"A";"";"Germany";"3-4-1-2";"x";"3:3";"UEFA Nations League A";"Switzerland"
