"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group C";"Fri Nov 11, 2016";"8:45 PM";"A";"";"San Marino";"4-2-3-1";"3.851";"0:8";"World Cup qualification Europe";"Germany"
"Group C";"Sun Mar 26, 2017";"6:00 PM";"A";"";"Azerbaijan";"4-2-3-1";"30.000";"1:4";"World Cup qualification Europe";"Germany"
"Group C";"Sat Jun 10, 2017";"8:45 PM";"H";"";"San Marino";"3-4-2-1";"32.467";"7:0";"World Cup qualification Europe";"Germany"
"Group C";"Fri Sep 1, 2017";"8:45 PM";"A";"";"Czech Republic";"3-5-2 Attacking";"18.093";"1:2";"World Cup qualification Europe";"Germany"
"Group C";"Mon Sep 4, 2017";"8:45 PM";"H";"";"Norway";"4-2-3-1";"53.814";"6:0";"World Cup qualification Europe";"Germany"
"Group C";"Thu Oct 5, 2017";"8:45 PM";"A";"";"Northern Ireland";"4-2-3-1";"18.104";"1:3";"World Cup qualification Europe";"Germany"
"Group C";"Sun Oct 8, 2017";"8:45 PM";"H";"";"Azerbaijan";"3-5-2";"37.613";"5:1";"World Cup qualification Europe";"Germany"
"Group C";"Sun Mar 24, 2019";"8:45 PM";"A";"";"Netherlands";"3-4-1-2";"51.694";"2:3";"European Qualifiers";"Germany"
"Group C";"Sat Jun 8, 2019";"8:45 PM";"A";"";"Belarus";"3-4-3";"7.200";"0:2";"European Qualifiers";"Germany"
"Group C";"Tue Jun 11, 2019";"8:45 PM";"H";"";"Estonia";"4-3-3 Attacking";"26.050";"8:0";"European Qualifiers";"Germany"
"Group C";"Fri Sep 6, 2019";"8:45 PM";"H";"";"Netherlands";"4-3-3 Attacking";"51.299";"2:4";"European Qualifiers";"Germany"
"Group C";"Mon Sep 9, 2019";"8:45 PM";"A";"";"Northern Ireland";"4-2-3-1";"18.326";"0:2";"European Qualifiers";"Germany"
"Group C";"Sun Oct 13, 2019";"8:45 PM";"A";"";"Estonia";"4-4-1-1";"12.062";"0:3";"European Qualifiers";"Germany"
"Group C";"Sat Nov 16, 2019";"8:45 PM";"H";"";"Belarus";"4-1-4-1";"33.164";"4:0";"European Qualifiers";"Germany"
"Group C";"Tue Nov 19, 2019";"8:45 PM";"H";"";"Northern Ireland";"4-2-3-1";"42.855";"6:1";"European Qualifiers";"Germany"
"group J";"Thu Mar 25, 2021";"8:45 PM";"H";"";"Iceland";"4-3-3 Attacking";"x";"3:0";"World Cup qualification Europe";"Germany"
"group J";"Sun Mar 28, 2021";"8:45 PM";"A";"";"Romania";"4-3-3 Attacking";"x";"0:1";"World Cup qualification Europe";"Germany"
"group J";"Wed Mar 31, 2021";"8:45 PM";"H";"";"North Macedonia";"4-3-3 Attacking";"x";"1:2";"World Cup qualification Europe";"Germany"
"group J";"Thu Sep 2, 2021";"8:45 PM";"A";"";"Liechtenstein";"4-2-3-1";"7.958";"0:2";"World Cup qualification Europe";"Germany"
"group J";"Sun Sep 5, 2021";"8:45 PM";"H";"";"Armenia";"4-2-3-1";"18.086";"6:0";"World Cup qualification Europe";"Germany"
"group J";"Wed Sep 8, 2021";"8:45 PM";"A";"";"Iceland";"4-2-3-1";"3.600";"0:4";"World Cup qualification Europe";"Germany"
"group J";"Fri Oct 8, 2021";"8:45 PM";"H";"";"Romania";"4-2-3-1";"25.000";"2:1";"World Cup qualification Europe";"Germany"
"group J";"Mon Oct 11, 2021";"8:45 PM";"A";"";"North Macedonia";"4-2-3-1";"16.182";"0:4";"World Cup qualification Europe";"Germany"
"group J";"Thu Nov 11, 2021";"8:45 PM";"H";"";"Liechtenstein";"4-2-3-1";"25.984";"9:0";"World Cup qualification Europe";"Germany"
"group J";"Sun Nov 14, 2021";"6:00 PM";"A";"";"Armenia";"4-2-3-1";"";"1:4";"World Cup qualification Europe";"Germany"
"Group H";"Fri Sep 3, 2010";"9:45 PM";"H";"";"Cyprus";"4-2-3-1";"9.100";"4:4";"European Qualifiers";"Portugal"
"Group H";"Tue Sep 7, 2010";"8:30 PM";"A";"";"Norway";"4-2-3-1";"24.535";"1:0";"European Qualifiers";"Portugal"
"Group H";"Fri Oct 8, 2010";"9:45 PM";"H";"";"Denmark";"4-3-3 Attacking";"27.117";"3:1";"European Qualifiers";"Portugal"
"Group H";"Tue Oct 12, 2010";"9:45 PM";"A";"";"Iceland";"4-3-3 Attacking";"9.755";"1:3";"European Qualifiers";"Portugal"
"Group H";"Sat Jun 4, 2011";"10:00 PM";"H";"";"Norway";"4-3-3 Attacking";"47.829";"1:0";"European Qualifiers";"Portugal"
"Group H";"Fri Sep 2, 2011";"8:45 PM";"A";"";"Cyprus";"4-3-3 Attacking";"15.444";"0:4";"European Qualifiers";"Portugal"
"Group H";"Fri Oct 7, 2011";"10:00 PM";"H";"";"Iceland";"4-3-3 Attacking";"35.715";"5:3";"European Qualifiers";"Portugal"
"Group H";"Tue Oct 11, 2011";"8:15 PM";"A";"";"Denmark";"4-3-3 Attacking";"37.012";"2:1";"European Qualifiers";"Portugal"
"Group F";"Fri Sep 7, 2012";"8:45 PM";"A";"";"Luxembourg";"4-3-3 Attacking";"8.054";"1:2";"World Cup qualification Europe";"Portugal"
"Group F";"Tue Sep 11, 2012";"9:15 PM";"H";"";"Azerbaijan";"4-3-3 Attacking";"29.972";"3:0";"World Cup qualification Europe";"Portugal"
"Group F";"Fri Oct 12, 2012";"5:00 PM";"A";"";"Russia";"4-3-3 Attacking";"54.212";"1:0";"World Cup qualification Europe";"Portugal"
"Group F";"Tue Oct 16, 2012";"9:45 PM";"H";"";"Northern Ireland";"4-3-3 Attacking";"48.711";"1:1";"World Cup qualification Europe";"Portugal"
"Group F";"Fri Mar 22, 2013";"1:45 PM";"A";"";"Israel";"4-3-3 Attacking";"38.600";"3:3";"World Cup qualification Europe";"Portugal"
"Group F";"Tue Mar 26, 2013";"6:00 PM";"A";"";"Azerbaijan";"4-3-3 Attacking";"30.000";"0:2";"World Cup qualification Europe";"Portugal"
"Group F";"Fri Jun 7, 2013";"9:45 PM";"H";"";"Russia";"4-1-4-1";"54.697";"1:0";"World Cup qualification Europe";"Portugal"
"Group F";"Fri Sep 6, 2013";"8:45 PM";"A";"";"Northern Ireland";"4-3-3 Attacking";"13.629";"2:4";"World Cup qualification Europe";"Portugal"
"Group F";"Fri Oct 11, 2013";"9:45 PM";"H";"";"Israel";"4-3-3 Attacking";"48.317";"1:1";"World Cup qualification Europe";"Portugal"
"Group F";"Tue Oct 15, 2013";"7:00 PM";"H";"";"Luxembourg";"4-3-3 Attacking";"18.955";"3:0";"World Cup qualification Europe";"Portugal"
"group I";"Sun Sep 7, 2014";"8:45 PM";"H";"";"Albania";"4-3-3 Attacking";"23.205";"0:1";"European Qualifiers";"Portugal"
"group I";"Tue Oct 14, 2014";"8:45 PM";"A";"";"Denmark";"4-1-3-2";"36.562";"0:1";"European Qualifiers";"Portugal"
"group I";"Fri Nov 14, 2014";"8:45 PM";"H";"";"Armenia";"4-1-3-2";"21.042";"1:0";"European Qualifiers";"Portugal"
"group I";"Sun Mar 29, 2015";"8:45 PM";"H";"";"Serbia";"4-1-3-2";"58.430";"2:1";"European Qualifiers";"Portugal"
"group I";"Sat Jun 13, 2015";"6:00 PM";"A";"";"Armenia";"4-1-3-2";"14.900";"2:3";"European Qualifiers";"Portugal"
