"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
NA;"Di. 19.11.2013";"21:00";"H";"";"Deutschland";"4-2-3-1";"85.934";"0:1";"Freundschaftsspiele";"england"
"Gruppe D";"So. 15.06.2014";"00:00";"H";"";"Italien";"4-2-3-1";"39.800";"1:2";"Weltmeisterschaft 2014";"england"
"Gruppe D";"Do. 19.06.2014";"21:00";"A";"";"Uruguay";"4-2-3-1";"62.103";"2:1";"Weltmeisterschaft 2014";"england"
"Gruppe D";"Di. 24.06.2014";"18:00";"A";"";"Costa Rica";"4-2-3-1";"57.823";"0:0";"Weltmeisterschaft 2014";"england"
NA;"Mi. 05.03.2014";"21:00";"H";"";"Dänemark";"4-3-3 offensiv";"68.573";"1:0";"Freundschaftsspiele";"england"
NA;"Fr. 30.05.2014";"21:00";"H";"";"Peru";"4-2-3-1";"83.578";"3:0";"Freundschaftsspiele";"england"
NA;"Mi. 04.06.2014";"21:00";"H";"";"Ecuador";"4-2-3-1";"21.534";"2:2";"Freundschaftsspiele";"england"
NA;"Sa. 07.06.2014";"22:45";"H";"";"Honduras";"4-4-2 doppel 6";"45.379";"0:0";"Freundschaftsspiele";"england"
NA;"Mi. 03.09.2014";"21:00";"H";"";"Norwegen";"4-4-2";"40.181";"1:0";"Freundschaftsspiele";"england"
NA;"Di. 18.11.2014";"21:00";"A";"";"Schottland";"4-3-3 defensiv";"49.526";"1:3";"Freundschaftsspiele";"england"
NA;"Di. 31.03.2015";"20:45";"A";"";"Italien";"4-3-1-2";"31.138";"1:1";"Freundschaftsspiele";"england"
NA;"So. 07.06.2015";"14:00";"A";"";"Irland";"4-3-3 offensiv";"43.486";"0:0";"Freundschaftsspiele";"england"
NA;"Fr. 13.11.2015";"20:45";"A";"";"Spanien";"4-2-3-1";"29.500";"2:0";"Freundschaftsspiele";"england"
NA;"Di. 17.11.2015";"21:00";"H";"";"Frankreich";"4-2-3-1";"71.223";"2:0";"Freundschaftsspiele";"england"
NA;"Sa. 26.03.2016";"20:45";"A";"";"Deutschland";"4-3-3 offensiv";"72.000";"2:3";"Freundschaftsspiele";"england"
NA;"Di. 29.03.2016";"21:00";"H";"";"Niederlande";"4-4-2 Raute";"82.835";"1:2";"Freundschaftsspiele";"england"
