"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Third Place Play-Off";"Sat Jul 10, 2021";"2:00 AM";"H";"";"Peru";"4-4-2 double 6";"x";"3:2";"Copa América 2021";"Colombia"
"Group C";"Tue Jul 5, 2011";"2:45 AM";"A";"";"Chile";"5-3-2";"";"2:1";"Copa América 2011";"Mexico"
"Group C";"Sat Jul 9, 2011";"2:45 AM";"A";"";"Peru";"5-4-1";"";"1:0";"Copa América 2011";"Mexico"
"Group C";"Wed Jul 13, 2011";"2:45 AM";"A";"";"Uruguay";"5-4-1";"";"1:0";"Copa América 2011";"Mexico"
"Group A";"Sat Jun 13, 2015";"1:30 AM";"H";"";"Bolivia";"5-3-2";"14.987";"0:0";"Copa América 2015";"Mexico"
"Group A";"Tue Jun 16, 2015";"1:30 AM";"A";"";"Chile";"5-3-2";"45.583";"3:3";"Copa América 2015";"Mexico"
"Group A";"Fri Jun 19, 2015";"11:00 PM";"H";"";"Ecuador";"5-3-2";"11.051";"1:2";"Copa América 2015";"Mexico"
"Group C";"Mon Jun 6, 2016";"2:00 AM";"H";"";"Uruguay";"3-4-3 Diamond";"60.025";"3:1";"Copa América Centenario 2016";"Mexico"
"Group C";"Fri Jun 10, 2016";"4:00 AM";"H";"";"Jamaica";"4-3-3 Attacking";"83.263";"2:0";"Copa América Centenario 2016";"Mexico"
"Group C";"Tue Jun 14, 2016";"2:00 AM";"H";"";"Venezuela";"4-1-4-1";"67.319";"1:1";"Copa América Centenario 2016";"Mexico"
"Quarter-Finals";"Sun Jun 19, 2016";"4:00 AM";"H";"";"Chile";"4-2-3-1";"70.547";"0:7";"Copa América Centenario 2016";"Mexico"
"Group C";"Tue Jun 18, 2019";"1:00 AM";"H";"";"Chile";"4-4-2 double 6";"23.253";"0:4";"Copa América 2019";"Japan"
"Group C";"Fri Jun 21, 2019";"1:00 AM";"A";"";"Uruguay";"4-4-2 double 6";"39.733";"2:2";"Copa América 2019";"Japan"
"Group C";"Tue Jun 25, 2019";"1:00 AM";"A";"";"Ecuador";"4-4-2 double 6";"9.729";"1:1";"Copa América 2019";"Japan"
"Group C";"Tue Jul 5, 2011";"12:15 AM";"A";"";"Uruguay";"4-2-3-1";"";"1:1";"Copa América 2011";"Peru"
"Group C";"Sat Jul 9, 2011";"2:45 AM";"H";"";"Mexico";"4-2-3-1";"";"1:0";"Copa América 2011";"Peru"
"Group C";"Wed Jul 13, 2011";"12:15 AM";"A";"";"Chile";"5-3-2";"";"1:0";"Copa América 2011";"Peru"
"Quarter-Finals";"Sat Jul 16, 2011";"9:00 PM";"A";"";"Colombia";"4-3-2-1";"40.000";"0:2  AET";"Copa América 2011";"Peru"
"Semi-Finals";"Wed Jul 20, 2011";"2:45 AM";"H";"";"Uruguay";"4-2-3-1";"";"0:2";"Copa América 2011";"Peru"
"Third Place Play-Off";"Sat Jul 23, 2011";"9:00 PM";"H";"";"Venezuela";"3-4-2-1";"";"4:1";"Copa América 2011";"Peru"
"Group C";"Sun Jun 14, 2015";"11:30 PM";"A";"";"Brazil";"4-2-3-1";"16.342";"2:1";"Copa América 2015";"Peru"
"Group C";"Fri Jun 19, 2015";"1:30 AM";"H";"";"Venezuela";"4-4-1-1";"15.542";"1:0";"Copa América 2015";"Peru"
