"";"_Spieltag";"Datum";"Uhrzeit";"Heimmannschaft";"Gastmannschaft";"Spielsystem";"Trainer";"Zuschauer";"Ergebnis";"country"
"50";"Gruppe E";"Mi. 27.06.2018";"20:00";"Serbien";"Brasilien";"4-3-3 offensiv";"Tite";"44.190";"0:2";"brasilien"
"51";"Achtelfinale";"Mo. 02.07.2018";"16:00";"Brasilien";"Mexiko";"4-3-3 offensiv";"Tite";"41.970";"2:0";"brasilien"
"52";"Viertelfinale";"Fr. 06.07.2018";"20:00";"Brasilien";"Belgien";"4-3-3 offensiv";"Tite";"42.873";"1:2";"brasilien"
"53";"Gruppe G";"Do. 24.11.2022";"20:00";"Brasilien";"Serbien";"?";"Tite";"";"-:-";"brasilien"
"54";"Gruppe G";"Mo. 28.11.2022";"17:00";"Brasilien";"Schweiz";"?";"Tite";"";"-:-";"brasilien"
"55";"Gruppe G";"Fr. 02.12.2022";"20:00";"Kamerun";"Brasilien";"?";"Tite";"";"-:-";"brasilien"
"56";"Gruppe D";"So. 13.06.2010";"20:30";"Deutschland";"Australien";"4-2-3-1";"Joachim Löw";"62.618";"4:0";"deutschland"
"57";"Gruppe D";"Fr. 18.06.2010";"13:30";"Deutschland";"Serbien";"4-2-3-1";"Joachim Löw";"38.294";"0:1";"deutschland"
"58";"Gruppe D";"Mi. 23.06.2010";"20:30";"Ghana";"Deutschland";"4-2-3-1";"Joachim Löw";"83.391";"0:1";"deutschland"
"59";"Achtelfinale";"So. 27.06.2010";"16:00";"Deutschland";"England";"4-2-3-1";"Joachim Löw";"40.510";"4:1";"deutschland"
"60";"Viertelfinale";"Sa. 03.07.2010";"16:00";"Argentinien";"Deutschland";"4-2-3-1";"Joachim Löw";"64.100";"0:4";"deutschland"
"61";"Halbfinale";"Mi. 07.07.2010";"20:30";"Deutschland";"Spanien";"4-2-3-1";"Joachim Löw";"60.960";"0:1";"deutschland"
"62";"Spiel um Platz Drei";"Sa. 10.07.2010";"20:30";"Uruguay";"Deutschland";"4-2-3-1";"Joachim Löw";"36.254";"2:3";"deutschland"
"63";"Gruppe G";"Mo. 16.06.2014";"18:00";"Deutschland";"Portugal";"4-3-3 offensiv";"Joachim Löw";"51.081";"4:0";"deutschland"
"64";"Gruppe G";"Sa. 21.06.2014";"21:00";"Deutschland";"Ghana";"4-3-3 offensiv";"Joachim Löw";"59.621";"2:2";"deutschland"
"65";"Gruppe G";"Do. 26.06.2014";"18:00";"Vereinigte Staaten";"Deutschland";"4-3-3 offensiv";"Joachim Löw";"41.876";"0:1";"deutschland"
"66";"Achtelfinale";"Mo. 30.06.2014";"22:00";"Deutschland";"Algerien";"4-3-3 offensiv";"Joachim Löw";"43.063";"2:1  n.V.";"deutschland"
"67";"Viertelfinale";"Fr. 04.07.2014";"18:00";"Frankreich";"Deutschland";"4-3-3 offensiv";"Joachim Löw";"74.240";"0:1";"deutschland"
"68";"Halbfinale";"Di. 08.07.2014";"22:00";"Brasilien";"Deutschland";"4-3-3 offensiv";"Joachim Löw";"58.141";"1:7";"deutschland"
"69";"Finale";"So. 13.07.2014";"21:00";"Deutschland";"Argentinien";"4-3-3 offensiv";"Joachim Löw";"74.738";"1:0  n.V.";"deutschland"
"70";"Gruppe F";"So. 17.06.2018";"17:00";"Deutschland";"Mexiko";"4-2-3-1";"Joachim Löw";"78.011";"0:1";"deutschland"
"71";"Gruppe F";"Sa. 23.06.2018";"20:00";"Deutschland";"Schweden";"4-2-3-1";"Joachim Löw";"44.287";"2:1";"deutschland"
"72";"Gruppe F";"Mi. 27.06.2018";"16:00";"Südkorea";"Deutschland";"4-2-3-1";"Joachim Löw";"41.835";"2:0";"deutschland"
"73";"Gruppe E";"Mi. 23.11.2022";"14:00";"Deutschland";"Japan";"?";"Hansi Flick";"";"-:-";"deutschland"
"74";"Gruppe E";"So. 27.11.2022";"20:00";"Spanien";"Deutschland";"?";"Hansi Flick";"";"-:-";"deutschland"
"75";"Gruppe E";"Do. 01.12.2022";"20:00";"Costa Rica";"Deutschland";"?";"Hansi Flick";"";"-:-";"deutschland"
"76";"Gruppe G";"Di. 15.06.2010";"16:00";"Elfenbeinküste";"Portugal";"4-3-3 offensiv";"Carlos Queiroz";"37.034";"0:0";"portugal"
"77";"Gruppe G";"Mo. 21.06.2010";"13:30";"Portugal";"Nordkorea";"4-3-3 offensiv";"Carlos Queiroz";"63.644";"7:0";"portugal"
"78";"Gruppe G";"Fr. 25.06.2010";"16:00";"Portugal";"Brasilien";"4-1-4-1";"Carlos Queiroz";"62.712";"0:0";"portugal"
"79";"Achtelfinale";"Di. 29.06.2010";"20:30";"Spanien";"Portugal";"4-3-3 offensiv";"Carlos Queiroz";"62.955";"1:0";"portugal"
"80";"Gruppe G";"Mo. 16.06.2014";"18:00";"Deutschland";"Portugal";"4-3-3 offensiv";"Paulo Bento";"51.081";"4:0";"portugal"
"81";"Gruppe G";"Mo. 23.06.2014";"00:00";"Vereinigte Staaten";"Portugal";"4-1-4-1";"Paulo Bento";"40.123";"2:2";"portugal"
"82";"Gruppe G";"Do. 26.06.2014";"18:00";"Portugal";"Ghana";"4-3-3 offensiv";"Paulo Bento";"67.540";"2:1";"portugal"
"83";"Gruppe B";"Fr. 15.06.2018";"20:00";"Portugal";"Spanien";"4-1-3-2";"Fernando Santos";"43.866";"3:3";"portugal"
"84";"Gruppe B";"Mi. 20.06.2018";"14:00";"Portugal";"Marokko";"4-1-3-2";"Fernando Santos";"78.011";"1:0";"portugal"
"85";"Gruppe B";"Mo. 25.06.2018";"20:00";"Iran";"Portugal";"4-1-3-2";"Fernando Santos";"41.685";"1:1";"portugal"
