"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe I";"Di. 06.09.2011";"22:00";"H";"";"Liechtenstein";"4-3-3 offensiv";"16.000";"6:0";"EM-Qualifikation";"spanien"
"Gruppe I";"Fr. 07.10.2011";"20:45";"A";"";"Tschechien";"4-3-3 offensiv";"17.873";"0:2";"EM-Qualifikation";"spanien"
"Gruppe I";"Di. 11.10.2011";"20:45";"H";"";"Schottland";"4-3-3 offensiv";"27.559";"3:1";"EM-Qualifikation";"spanien"
"Gruppe C";"Mo. 08.09.2014";"20:45";"H";"";"Mazedonien";"4-3-3 offensiv";"18.553";"5:1";"EM-Qualifikation";"spanien"
"Gruppe C";"Do. 09.10.2014";"20:45";"A";"";"Slowakei";"4-3-3 offensiv";"9.478";"2:1";"EM-Qualifikation";"spanien"
"Gruppe C";"So. 12.10.2014";"20:45";"A";"";"Luxemburg";"4-3-3 offensiv";"7.800";"0:4";"EM-Qualifikation";"spanien"
"Gruppe C";"Sa. 15.11.2014";"20:45";"H";"";"Belarus";"4-3-3 offensiv";"19.249";"3:0";"EM-Qualifikation";"spanien"
"Gruppe C";"Fr. 27.03.2015";"20:45";"H";"";"Ukraine";"4-3-3 offensiv";"33.775";"1:0";"EM-Qualifikation";"spanien"
"Gruppe C";"So. 14.06.2015";"20:45";"A";"";"Belarus";"4-3-3 offensiv";"13.121";"0:1";"EM-Qualifikation";"spanien"
"Gruppe C";"Sa. 05.09.2015";"20:45";"H";"";"Slowakei";"4-3-3 offensiv";"19.874";"2:0";"EM-Qualifikation";"spanien"
"Gruppe C";"Di. 08.09.2015";"20:45";"A";"";"Mazedonien";"4-3-3 offensiv";"28.843";"0:1";"EM-Qualifikation";"spanien"
"Gruppe C";"Fr. 09.10.2015";"20:45";"H";"";"Luxemburg";"4-3-3 offensiv";"14.472";"4:0";"EM-Qualifikation";"spanien"
"Gruppe C";"Mo. 12.10.2015";"20:45";"A";"";"Ukraine";"4-3-3 offensiv";"61.248";"0:1";"EM-Qualifikation";"spanien"
"Gruppe F";"Sa. 23.03.2019";"20:45";"H";"";"Norwegen";"4-3-3 offensiv";"39.752";"2:1";"EM-Qualifikation";"spanien"
"Gruppe F";"Di. 26.03.2019";"20:45";"A";"";"Malta";"4-3-3 offensiv";"16.542";"0:2";"EM-Qualifikation";"spanien"
"Gruppe F";"Fr. 07.06.2019";"20:45";"A";"";"Färöer";"4-3-3 offensiv";"";"1:4";"EM-Qualifikation";"spanien"
"Gruppe F";"Mo. 10.06.2019";"20:45";"H";"";"Schweden";"4-3-3 offensiv";"72.205";"3:0";"EM-Qualifikation";"spanien"
"Gruppe F";"Do. 05.09.2019";"20:45";"A";"";"Rumänien";"4-3-3 offensiv";"50.024";"1:2";"EM-Qualifikation";"spanien"
"Gruppe F";"So. 08.09.2019";"20:45";"H";"";"Färöer";"4-3-3 offensiv";"23.644";"4:0";"EM-Qualifikation";"spanien"
"Gruppe F";"Sa. 12.10.2019";"20:45";"A";"";"Norwegen";"4-3-3 offensiv";"25.000";"1:1";"EM-Qualifikation";"spanien"
"Gruppe F";"Di. 15.10.2019";"20:45";"A";"";"Schweden";"4-3-1-2";"49.712";"1:1";"EM-Qualifikation";"spanien"
"Gruppe F";"Fr. 15.11.2019";"20:45";"H";"";"Malta";"4-3-3 offensiv";"19.773";"7:0";"EM-Qualifikation";"spanien"
"Gruppe F";"Mo. 18.11.2019";"20:45";"H";"";"Rumänien";"4-3-3 offensiv";"36.198";"5:0";"EM-Qualifikation";"spanien"
"Gruppe E";"Fr. 03.09.2010";"20:45";"A";"";"San Marino";"4-2-3-1";"4.127";"0:5";"EM-Qualifikation";"niederlande"
"Gruppe E";"Di. 07.09.2010";"20:30";"H";"";"Finnland";"?";"27.500";"2:1";"EM-Qualifikation";"niederlande"
"Gruppe E";"Fr. 08.10.2010";"20:30";"A";"";"Moldawien";"?";"10.500";"0:1";"EM-Qualifikation";"niederlande"
"Gruppe E";"Di. 12.10.2010";"20:30";"H";"";"Schweden";"4-5-1";"51.628";"4:1";"EM-Qualifikation";"niederlande"
"Gruppe E";"Fr. 25.03.2011";"20:30";"A";"";"Ungarn";"4-3-3 offensiv";"25.311";"0:4";"EM-Qualifikation";"niederlande"
"Gruppe E";"Di. 29.03.2011";"20:30";"H";"";"Ungarn";"4-3-3 offensiv";"51.000";"5:3";"EM-Qualifikation";"niederlande"
"Gruppe E";"Fr. 02.09.2011";"20:30";"H";"";"San Marino";"4-3-3 offensiv";"35.000";"11:0";"EM-Qualifikation";"niederlande"
"Gruppe E";"Di. 06.09.2011";"19:00";"A";"";"Finnland";"4-3-3 defensiv";"21.580";"0:2";"EM-Qualifikation";"niederlande"
"Gruppe E";"Fr. 07.10.2011";"20:30";"H";"";"Moldawien";"4-3-3 offensiv";"48.000";"1:0";"EM-Qualifikation";"niederlande"
"Gruppe E";"Di. 11.10.2011";"20:15";"A";"";"Schweden";"4-3-3 defensiv";"33.069";"3:2";"EM-Qualifikation";"niederlande"
"Gruppe A";"Di. 09.09.2014";"20:45";"A";"";"Tschechien";"5-3-2";"17.946";"2:1";"EM-Qualifikation";"niederlande"
"Gruppe A";"Fr. 10.10.2014";"20:45";"H";"";"Kasachstan";"4-3-3 offensiv";"47.500";"3:1";"EM-Qualifikation";"niederlande"
"Gruppe A";"Mo. 13.10.2014";"20:45";"A";"";"Island";"4-3-3 offensiv";"9.767";"2:0";"EM-Qualifikation";"niederlande"
"Gruppe A";"So. 16.11.2014";"18:00";"H";"";"Lettland";"4-3-3 offensiv";"47.500";"6:0";"EM-Qualifikation";"niederlande"
"Gruppe A";"Sa. 28.03.2015";"20:45";"H";"";"Türkei";"4-3-3 offensiv";"53.227";"1:1";"EM-Qualifikation";"niederlande"
"Gruppe A";"Fr. 12.06.2015";"20:45";"A";"";"Lettland";"4-3-3 defensiv";"";"0:2";"EM-Qualifikation";"niederlande"
"Gruppe A";"Do. 03.09.2015";"20:45";"H";"";"Island";"4-3-3 offensiv";"50.275";"0:1";"EM-Qualifikation";"niederlande"
"Gruppe A";"So. 06.09.2015";"18:00";"A";"";"Türkei";"4-3-3 defensiv";"41.981";"3:0";"EM-Qualifikation";"niederlande"
"Gruppe A";"Sa. 10.10.2015";"18:00";"A";"";"Kasachstan";"4-2-3-1";"20.716";"1:2";"EM-Qualifikation";"niederlande"
"Gruppe A";"Di. 13.10.2015";"20:45";"H";"";"Tschechien";"4-3-3 offensiv";"";"2:3";"EM-Qualifikation";"niederlande"
"Gruppe C";"Do. 21.03.2019";"20:45";"H";"";"Belarus";"4-3-3 defensiv";"38.604";"4:0";"EM-Qualifikation";"niederlande"
"Gruppe C";"So. 24.03.2019";"20:45";"H";"";"Deutschland";"4-3-3 defensiv";"51.694";"2:3";"EM-Qualifikation";"niederlande"
"Gruppe C";"Fr. 06.09.2019";"20:45";"A";"";"Deutschland";"4-3-3 offensiv";"51.299";"2:4";"EM-Qualifikation";"niederlande"
"Gruppe C";"Mo. 09.09.2019";"20:45";"A";"";"Estland";"4-3-3 defensiv";"11.006";"0:4";"EM-Qualifikation";"niederlande"
"Gruppe C";"Do. 10.10.2019";"20:45";"H";"";"Nordirland";"4-3-3 defensiv";"";"3:1";"EM-Qualifikation";"niederlande"
"Gruppe C";"So. 13.10.2019";"18:00";"A";"";"Belarus";"4-3-3 defensiv";"21.639";"1:2";"EM-Qualifikation";"niederlande"
"Gruppe C";"Sa. 16.11.2019";"20:45";"A";"";"Nordirland";"4-3-3 defensiv";"";"0:0";"EM-Qualifikation";"niederlande"
"Gruppe C";"Di. 19.11.2019";"20:45";"H";"";"Estland";"4-3-3 defensiv";"50.386";"5:0";"EM-Qualifikation";"niederlande"
"Gruppe C";"Fr. 03.09.2010";"19:00";"A";"";"Färöer";"4-4-2";"1.847";"0:3";"EM-Qualifikation";"serbien"
"Gruppe C";"Di. 07.09.2010";"20:30";"H";"";"Slowenien";"4-4-2";"24.028";"1:1";"EM-Qualifikation";"serbien"
"Gruppe C";"Fr. 08.10.2010";"20:30";"H";"";"Estland";"4-5-1";"12.000";"1:3";"EM-Qualifikation";"serbien"
"Gruppe C";"Di. 12.10.2010";"20:50";"A";"";"Italien";"4-4-2 Raute";"";"3:0";"EM-Qualifikation";"serbien"
"Gruppe C";"Fr. 25.03.2011";"20:30";"H";"";"Nordirland";"?";"x";"2:1";"EM-Qualifikation";"serbien"
"Gruppe C";"Di. 29.03.2011";"00:00";"A";"";"Estland";"?";"5.185";"1:1";"EM-Qualifikation";"serbien"
"Gruppe C";"Fr. 02.09.2011";"20:45";"A";"";"Nordirland";"?";"15.148";"0:1";"EM-Qualifikation";"serbien"
"Gruppe C";"Di. 06.09.2011";"20:30";"H";"";"Färöer";"?";"7.500";"3:1";"EM-Qualifikation";"serbien"
"Gruppe C";"Fr. 07.10.2011";"20:45";"H";"";"Italien";"4-2-3-1";"35.000";"1:1";"EM-Qualifikation";"serbien"
"Gruppe C";"Di. 11.10.2011";"20:45";"A";"";"Slowenien";"4-2-3-1";"9.848";"1:0";"EM-Qualifikation";"serbien"
"Gruppe I";"Sa. 11.10.2014";"18:00";"A";"";"Armenien";"4-2-3-1";"7.500";"1:1";"EM-Qualifikation";"serbien"
"Gruppe I";"Di. 14.10.2014";"20:45";"H";"";"Albanien";"4-2-3-1";"25.000";"0:3";"EM-Qualifikation";"serbien"
"Gruppe I";"Fr. 14.11.2014";"20:45";"H";"";"Dänemark";"4-2-3-1";"";"1:3";"EM-Qualifikation";"serbien"
"Gruppe I";"So. 29.03.2015";"20:45";"A";"";"Portugal";"4-2-3-1";"58.430";"2:1";"EM-Qualifikation";"serbien"
"Gruppe I";"Sa. 13.06.2015";"20:45";"A";"";"Dänemark";"4-2-3-1";"30.887";"2:0";"EM-Qualifikation";"serbien"
"Gruppe I";"Fr. 04.09.2015";"20:45";"H";"";"Armenien";"4-2-3-1";"x";"2:0";"EM-Qualifikation";"serbien"
"Gruppe I";"Do. 08.10.2015";"20:45";"A";"";"Albanien";"4-2-3-1";"12.330";"0:2";"EM-Qualifikation";"serbien"
"Gruppe I";"So. 11.10.2015";"18:00";"H";"";"Portugal";"4-2-3-1";"7.485";"1:2";"EM-Qualifikation";"serbien"
"Gruppe B";"Mo. 25.03.2019";"20:45";"A";"";"Portugal";"4-4-2 Raute";"50.342";"1:1";"EM-Qualifikation";"serbien"
"Gruppe B";"Fr. 07.06.2019";"20:45";"A";"";"Ukraine";"3-5-2 offensiv";"35.000";"5:0";"EM-Qualifikation";"serbien"
"Gruppe B";"Mo. 10.06.2019";"20:45";"H";"";"Litauen";"4-4-2 doppel 6";"x";"4:1";"EM-Qualifikation";"serbien"
"Gruppe B";"Sa. 07.09.2019";"20:45";"H";"";"Portugal";"4-2-3-1";"39.839";"2:4";"EM-Qualifikation";"serbien"
"Gruppe B";"Di. 10.09.2019";"20:45";"A";"";"Luxemburg";"4-2-3-1";"6.373";"1:3";"EM-Qualifikation";"serbien"
"Gruppe B";"Mo. 14.10.2019";"20:45";"A";"";"Litauen";"4-2-3-1";"2.787";"1:2";"EM-Qualifikation";"serbien"
"Gruppe B";"Do. 14.11.2019";"20:45";"H";"";"Luxemburg";"4-2-3-1";"1.000";"3:2";"EM-Qualifikation";"serbien"
"Gruppe B";"So. 17.11.2019";"15:00";"H";"";"Ukraine";"4-2-3-1";"";"2:2";"EM-Qualifikation";"serbien"
"Halbfinale";"Do. 08.10.2020";"20:45";"A";"";"Norwegen";"3-4-2-1";"";"1:2  n.V.";"EM-Qualifikation Playoff";"serbien"
"Finale";"Do. 12.11.2020";"20:45";"H";"";"Schottland";"3-4-2-1";"x";"5:6  n.E.";"EM-Qualifikation Playoff";"serbien"
"Gruppe F";"Fr. 03.09.2010";"20:00";"A";"";"Lettland";"?";"8.000";"0:3";"EM-Qualifikation";"kroatien"
